Date,benchmark,binary,continuous,cum_benchmark,cum_binary,cum_continuous,risk_score,weight_stocks
2003-11-01,0.00788867503484638,0.00788867503484638,0.008923913233025875,1.0078886750348464,1.0078886750348464,1.0089239132330259,0.058755351641185186,0.8529957186870519
2003-12-01,0.03409521740834053,0.03409521740834053,0.03953005462534884,1.0422528585335635,1.0422528585335635,1.048806730635948,0.1573848174023715,0.7740921460781028
2004-01-01,0.01362032367767011,0.01362032367767011,0.017430008180094606,1.0564486798207677,1.0564486798207677,1.067087440530271,0.40168583887989917,0.5786513288960807
2004-02-01,0.012708079762703871,0.012708079762703871,0.012888140020435725,1.0698741139091332,1.0698741139091332,1.0808402128778736,0.6286538779788146,0.3970768976169484
2004-03-01,-0.005216966946256369,-0.005607276231271689,-0.004960014151801438,1.064292616020214,1.0638750342197578,1.0754792301261633,0.34345608293578905,0.6252351336513687
2004-04-01,-0.022580499674957642,-0.026634047914034977,-0.0246595435098141,1.0402603569501097,1.0355397355838032,1.0489584032569659,0.19014193446484404,0.7478864524281248
2004-05-01,0.008756516659171308,0.008756516659171308,0.009171207038130406,1.0493694140956187,1.0446074565296766,1.0585786179476222,0.08946776849074467,0.8284257852074043
2004-06-01,0.014012006372006915,0.014012006372006915,0.015595139003730302,1.0640731850125156,1.0592445028668163,1.0750872986408921,0.4439396549502465,0.5448482760398028
2004-07-01,-0.01564185213095731,-0.01564185213095731,-0.02538152612257251,1.047429109596033,1.0426759569824442,1.0477999422863924,0.166690811383677,0.7666473508930584
2004-08-01,0.007932984488640446,0.007932984488640446,0.008469421039092014,1.0557383484754088,1.0509474891758643,1.0566742011623522,0.395787959916312,0.5833696320669505
2004-09-01,0.008088512812508981,0.008088512812508981,0.008716595678159312,1.0642777016337093,1.0594480914073374,1.0658848029374266,0.1272159003946277,0.7982272796842979
2004-10-01,0.011196338396047877,0.011196338396047877,0.010913338248931575,1.0761937149285683,1.0713100307517809,1.0775171643262784,0.18549207665455586,0.7516063386763554
2004-11-01,0.02374141569068376,0.02374141569068376,0.033988606600713366,1.1017440772783886,1.096744447525458,1.1141404713300804,0.2946127674571226,0.6643097860343019
2004-12-01,0.021256960504708985,0.021256960504708985,0.024528575667059228,1.1251638076153925,1.1200579009302656,1.1414687501848333,0.004311106433028867,0.8965511148535769
2005-01-01,-0.011505827362103272,-0.011505827362103272,-0.013493480393842563,1.112217867090883,1.1071707080866022,1.1260663639840303,0.05404568333523425,0.8567634533318126
2005-02-01,0.011050494137465715,0.011050494137465715,0.01831471193007113,1.1245084241107555,1.119405491505487,1.1466899450545402,0.01342420416919571,0.8892606366646434
2005-03-01,-0.014874649168621233,-0.014874649168621233,-0.01710135593722443,1.1077817558149488,1.1027547275419147,1.1270799921545263,0.8198381791178487,0.24412945670572103
2005-04-01,-0.0043582130830152775,-0.0047408745885945715,-0.015394266723434618,1.1029538068736304,1.0975267056766587,1.109729422136653,0.2594620384439483,0.6924303692448414
2005-05-01,0.022639463843863474,0.012669031275107281,0.013678188091799246,1.1279240897057974,1.1114313058361416,1.1249085099036418,0.40696667360793193,0.5744266611136545
2005-06-01,0.004412361965657926,0.004412361965657926,0.003627704232561966,1.1329008990593645,1.1163353430574545,1.128989345266264,0.07757735078704629,0.837938119370363
2005-07-01,0.018803650944949398,0.018803650944949398,0.01731999896130605,1.1542035721204962,1.1373265231858172,1.1485434395536012,0.2979329901658053,0.6616536078673557
2005-08-01,-0.0009038206996014593,-0.0009038206996014593,-0.006114137092679091,1.1531603790404596,1.136298583931956,1.1415210875072732,0.27775636252043523,0.6777949099836518
2005-09-01,0.0010648889624584594,0.0010648889624584594,0.002129001768428023,1.1543883668000443,1.1375086157520422,1.1439513879212742,0.8684607085379906,0.2052314331696075
