Date,benchmark,continuous,risk_score,weight_stocks,binary,cum_benchmark,cum_binary,cum_continuous
2003-09-30,-0.0037504182814422915,-0.0014279487926603072,0.5698749506943307,0.44410003944453547,-0.0037504182814422915,0.9962495817185577,0.9962495817185577,0.9985720512073397
2003-10-01,0.012591793801241558,0.014746287075450238,0.23612611793062813,0.7110991056554975,0.012591793801241558,1.0087941510261311,1.0087941510261311,1.0132972813399643
2003-10-02,0.0015507016236764757,0.002126726875875038,0.23612611793062813,0.7110991056554975,0.0015507016236764757,1.0103584897540827,1.0103584897540827,1.0154522879014412
2003-10-03,0.0026175188379303545,0.004438955364245,0.23612611793062813,0.7110991056554975,0.0026175188379303545,1.0130031221340767,1.0130031221340767,1.019959835281956
2003-10-06,0.0033168232565830903,0.0036580354432701207,0.23612611793062813,0.7110991056554975,0.0033168232565830903,1.0163630744485623,1.0163630744485623,1.0236908845101294
2003-10-07,0.0009370099822516129,0.0017465234938396493,0.23612611793062813,0.7110991056554975,0.0009370099822516129,1.0173154167949126,1.0173154167949126,1.0254787846903557
2003-10-08,-0.0005114878803520017,-0.0010620495282799075,0.23612611793062813,0.7110991056554975,-0.0005114878803520017,1.0167950722887267,1.0167950722887267,1.0243896754308142
2003-10-09,0.00020125295206434562,0.0008932601880706505,0.23612611793062813,0.7110991056554975,0.00020125295206434562,1.0169997052986692,1.0169997052986692,1.0253047219449472
2003-10-10,0.003876569618031134,0.003572167551172698,0.23612611793062813,0.7110991056554975,0.003876569618031134,1.0209421754577768,1.0209421754577768,1.028967282202743
2003-10-13,0.0001286953132539903,0.0009695032979771536,0.23612611793062813,0.7110991056554975,0.0001286953132539903,1.0210735659308616,1.0210735659308616,1.029964869376349
2003-10-14,0.00132807355689164,0.0019387475231377083,0.23612611793062813,0.7110991056554975,0.00132807355689164,1.0224296267334154,1.0224296267334154,1.031961711215771
2003-10-15,-0.0025822083735343336,-0.002603705522665203,0.23612611793062813,0.7110991056554975,-0.0025822083735343336,1.019789500389915,1.019789500389915,1.0292747868090995
2003-10-16,0.0013315942049213713,0.002072857986095876,0.23612611793062813,0.7110991056554975,0.0013315942049213713,1.0211474461788739,1.0211474461788739,1.0314083272708237
2003-10-17,-0.004641317566870517,-0.006382397738326717,0.23612611793062813,0.7110991056554975,-0.004641317566870517,1.016407976598559,1.016407976598559,1.024825469095559
2003-10-20,0.004252075616159567,0.005149011269581717,0.23612611793062813,0.7110991056554975,0.004252075616159567,1.0207298201719237,1.0207298201719237,1.0301023069852864
2003-10-21,-0.000238320075679521,-0.0006480909851999658,0.23612611793062813,0.7110991056554975,-0.000238320075679521,1.020486559763932,1.020486559763932,1.0294347069662957
2003-10-22,-0.005778587336109275,-0.0076699597657016024,0.23612611793062813,0.7110991056554975,-0.005778587336109275,1.0145895890530106,1.0145895890530106,1.0215389841824474
2003-10-23,-0.0020821625935305565,-0.002013335616062111,0.23612611793062813,0.7110991056554975,-0.0020821625935305565,1.0124770485628989,1.0124770485628989,1.0194822833623969
2003-10-24,0.003302308998451986,0.003003045252327071,0.23612611793062813,0.7110991056554975,0.003302308998451986,1.0158205606310944,1.0158205606310944,1.0225438347932798
2003-10-27,-0.0004933850128578943,-0.00022229327506311734,0.23612611793062813,0.7110991056554975,-0.0004933850128578943,1.0153193699907261,1.0153193699907261,1.022316530175348
2003-10-28,0.009732994078632195,0.010808757775512486,0.23612611793062813,0.7110991056554975,0.009732994078632195,1.0252014674067664,1.0252014674067664,1.0333665019199159
2003-10-29,-0.0009587068659522748,-0.00032222397750953085,0.23612611793062813,0.7110991056554975,-0.0009587068659522748,1.0242185997209792,1.0242185997209792,1.033033526455442
2003-10-30,0.0012549854845290032,0.0014873650927653423,0.23612611793062813,0.7110991056554975,0.0012549854845290032,1.0255039791966136,1.0255039791966136,1.0345700244623481
2003-10-31,-0.001197833541582427,-0.0011287703817092988,0.23612611793062813,0.7110991056554975,-0.001197833541582427,1.0242755961333057,1.0242755961333057,1.0334022324609307
2003-11-03,0.003217835725888651,0.0034987514225878853,0.3225269849646245,0.6419784120283004,0.003217835725888651,1.0275715467396993,1.0275715467396993,1.037017849991859
2003-11-04,-0.0005116414910985688,-0.0006857221967757516,0.3225269849646245,0.6419784120283004,-0.0005116414910985688,1.0270457985013148,1.0270457985013148,1.0363067438336668
